epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.4711,1.4881,2.38506,1.80186,0.60438,0.43177,0.43287,0.18517,1.73887,2.41268,2.24819,0.000553496,0.000553496,0.000553496
2,137.033,1.53907,1.84734,1.80635,0.62081,0.4786,0.50282,0.21543,1.75481,2.03363,2.21576,0.00109818,0.00109818,0.00109818
3,197.638,1.54664,1.65642,1.8135,0.63099,0.62816,0.64883,0.28699,1.71397,1.60182,2.11878,0.00163187,0.00163187,0.00163187
4,256.033,1.51821,1.55796,1.77041,0.65496,0.51512,0.62605,0.29788,1.67491,1.91957,2.15638,0.00161749,0.00161749,0.00161749
5,315.135,1.47724,1.44774,1.73831,0.76887,0.6512,0.72913,0.3353,1.71775,1.37266,2.11357,0.00160099,0.00160099,0.00160099
6,375.24,1.45317,1.41383,1.72753,0.62877,0.65325,0.66624,0.31446,1.69347,1.42473,2.10186,0.00158448,0.00158448,0.00158448
7,435.561,1.43011,1.36422,1.69816,0.81985,0.77602,0.84867,0.43535,1.55452,1.18356,1.96955,0.00156798,0.00156798,0.00156798
8,495.833,1.40242,1.3084,1.68082,0.73535,0.7246,0.76343,0.3968,1.58836,1.17143,2.00009,0.00155148,0.00155148,0.00155148
9,554.03,1.3822,1.28015,1.65969,0.81136,0.79474,0.84427,0.45982,1.52068,1.04208,1.91953,0.00153497,0.00153497,0.00153497
10,615.369,1.36958,1.24624,1.64572,0.83824,0.79457,0.86482,0.46437,1.51269,1.00033,1.92485,0.00151847,0.00151847,0.00151847
11,676.186,1.33692,1.19872,1.62766,0.81075,0.78801,0.85015,0.46833,1.46728,1.00593,1.86459,0.00150197,0.00150197,0.00150197
12,764.264,1.32891,1.17828,1.62452,0.81566,0.79911,0.88145,0.45602,1.60568,0.98629,1.9687,0.00148546,0.00148546,0.00148546
13,853.057,1.32697,1.16388,1.62336,0.83162,0.82021,0.88008,0.49031,1.49506,0.91768,1.88777,0.00146896,0.00146896,0.00146896
14,941.919,1.32017,1.16287,1.6214,0.85319,0.82054,0.89003,0.49108,1.44856,0.92486,1.85049,0.00145246,0.00145246,0.00145246
15,1027.51,1.30067,1.12112,1.59993,0.85931,0.82705,0.8859,0.51007,1.44222,0.83139,1.85939,0.00143595,0.00143595,0.00143595
16,1118.31,1.28906,1.12055,1.59178,0.87492,0.81879,0.91038,0.5172,1.44942,0.88712,1.85274,0.00141945,0.00141945,0.00141945
17,1212.19,1.27792,1.09145,1.58447,0.87764,0.79591,0.89614,0.50406,1.4476,0.8815,1.83932,0.00140295,0.00140295,0.00140295
18,1306.89,1.28362,1.095,1.58923,0.83018,0.87719,0.91033,0.51678,1.46162,0.86362,1.85162,0.00138644,0.00138644,0.00138644
19,1402.47,1.25198,1.05906,1.56355,0.84444,0.79575,0.88878,0.5271,1.37332,0.91536,1.78091,0.00136994,0.00136994,0.00136994
20,1508.9,1.24495,1.04327,1.55567,0.81871,0.85139,0.90402,0.50552,1.46166,0.87813,1.83081,0.00135344,0.00135344,0.00135344
21,1612.61,1.23538,1.028,1.54738,0.8678,0.83374,0.90806,0.48985,1.52057,0.83316,1.90316,0.00133693,0.00133693,0.00133693
22,1724.22,1.23366,1.03828,1.54508,0.85317,0.86582,0.92145,0.53723,1.39788,0.82701,1.77732,0.00132043,0.00132043,0.00132043
23,1835.42,1.2387,1.01462,1.54131,0.87586,0.87824,0.92707,0.54435,1.38013,0.76847,1.7844,0.00130393,0.00130393,0.00130393
24,1943.46,1.23398,1.0257,1.54325,0.86161,0.83871,0.90911,0.53281,1.4114,0.84374,1.79746,0.00128742,0.00128742,0.00128742
25,2054.04,1.22002,1.00206,1.53209,0.86392,0.89274,0.93412,0.53861,1.41526,0.77716,1.8095,0.00127092,0.00127092,0.00127092
26,2167.07,1.2192,0.99221,1.54209,0.87385,0.87859,0.92984,0.545,1.38332,0.80872,1.7762,0.00125442,0.00125442,0.00125442
27,2277.67,1.21682,0.99928,1.52759,0.848,0.89913,0.93537,0.56567,1.35289,0.75089,1.74234,0.00123791,0.00123791,0.00123791
28,2388.05,1.20948,0.96779,1.52337,0.85441,0.88761,0.92517,0.54914,1.38462,0.80734,1.75615,0.00122141,0.00122141,0.00122141
29,2496.99,1.19494,0.97011,1.52078,0.86407,0.88204,0.92308,0.54399,1.39003,0.78236,1.79928,0.00120491,0.00120491,0.00120491
30,2605.21,1.18961,0.94155,1.51738,0.87344,0.86333,0.92553,0.54938,1.37615,0.76308,1.77141,0.0011884,0.0011884,0.0011884
31,2718.56,1.1809,0.94551,1.50982,0.88425,0.89304,0.93297,0.56276,1.33737,0.74518,1.73739,0.0011719,0.0011719,0.0011719
32,2834.28,1.18329,0.95154,1.5117,0.88596,0.88077,0.93382,0.56657,1.33974,0.73327,1.74516,0.0011554,0.0011554,0.0011554
33,2947.64,1.17623,0.93748,1.50893,0.91156,0.87209,0.94759,0.56333,1.35264,0.72141,1.74775,0.00113889,0.00113889,0.00113889
34,3059.34,1.18202,0.9382,1.50879,0.87482,0.90594,0.93672,0.56501,1.34627,0.73255,1.7465,0.00112239,0.00112239,0.00112239
35,3169.48,1.16902,0.91517,1.49561,0.8854,0.89195,0.94259,0.56625,1.34225,0.74916,1.72737,0.00110589,0.00110589,0.00110589
36,3279.69,1.15655,0.91956,1.49218,0.886,0.87589,0.94113,0.54949,1.35987,0.74353,1.74265,0.00108938,0.00108938,0.00108938
37,3387.24,1.16366,0.91797,1.48765,0.88037,0.88551,0.93975,0.56128,1.36651,0.72625,1.73973,0.00107288,0.00107288,0.00107288
38,3500.79,1.15593,0.90676,1.49064,0.87544,0.90436,0.93657,0.56385,1.34109,0.70076,1.75091,0.00105638,0.00105638,0.00105638
39,3614.04,1.14752,0.89277,1.48164,0.88872,0.90723,0.94604,0.57828,1.32216,0.69011,1.71286,0.00103987,0.00103987,0.00103987
40,3726.03,1.14323,0.8808,1.48292,0.89151,0.88819,0.94243,0.57424,1.33766,0.68145,1.70976,0.00102337,0.00102337,0.00102337
41,3840.54,1.13581,0.88038,1.47486,0.89669,0.89678,0.95029,0.5704,1.32459,0.71298,1.71341,0.00100687,0.00100687,0.00100687
42,3951.8,1.12845,0.8658,1.46986,0.90293,0.89967,0.95121,0.56977,1.35342,0.67756,1.73998,0.000990365,0.000990365,0.000990365
43,4061.73,1.12051,0.85997,1.45988,0.88819,0.89955,0.94984,0.58191,1.31381,0.68157,1.69832,0.000973861,0.000973861,0.000973861
44,4174.94,1.13399,0.87249,1.466,0.90347,0.89201,0.94911,0.57611,1.32314,0.68419,1.7146,0.000957358,0.000957358,0.000957358
45,4282.43,1.12002,0.84466,1.45631,0.90464,0.87429,0.94293,0.57741,1.32052,0.68231,1.71395,0.000940855,0.000940855,0.000940855
46,4390.59,1.1153,0.85429,1.4632,0.87133,0.91711,0.94492,0.58197,1.31905,0.69141,1.70166,0.000924352,0.000924352,0.000924352
47,4501.37,1.10373,0.84428,1.44879,0.90373,0.88282,0.94325,0.58379,1.30621,0.66999,1.70725,0.000907848,0.000907848,0.000907848
48,4608.46,1.10423,0.82316,1.4476,0.88429,0.90513,0.95469,0.57991,1.3222,0.67253,1.70379,0.000891345,0.000891345,0.000891345
49,4715.93,1.09188,0.84033,1.45115,0.88883,0.89452,0.94141,0.57818,1.32853,0.67356,1.72313,0.000874842,0.000874842,0.000874842
50,4823.94,1.1035,0.83269,1.44292,0.89925,0.89645,0.94744,0.57968,1.33466,0.67899,1.71158,0.000858338,0.000858338,0.000858338
51,4937.97,1.09462,0.81277,1.44213,0.89764,0.89484,0.94868,0.58406,1.32344,0.66308,1.70318,0.000841835,0.000841835,0.000841835
52,5039.71,1.09248,0.81614,1.43614,0.87788,0.91301,0.94514,0.58284,1.32697,0.66917,1.70997,0.000825332,0.000825332,0.000825332
53,5152,1.08345,0.80795,1.42972,0.90911,0.9093,0.95383,0.58494,1.30783,0.64932,1.68696,0.000808828,0.000808828,0.000808828
54,5260.02,1.07532,0.7976,1.42328,0.90424,0.90431,0.95452,0.5873,1.3038,0.64412,1.67985,0.000792325,0.000792325,0.000792325
55,5374.33,1.08804,0.80131,1.43628,0.9159,0.90118,0.95005,0.59102,1.30761,0.64889,1.67951,0.000775822,0.000775822,0.000775822
56,5481.57,1.07176,0.7898,1.41693,0.90498,0.88414,0.94785,0.59149,1.30156,0.65891,1.67964,0.000759318,0.000759318,0.000759318
57,5570.05,1.06597,0.79095,1.4233,0.90353,0.90277,0.95522,0.58959,1.30535,0.63801,1.68593,0.000742815,0.000742815,0.000742815
58,5626.75,1.07187,0.79456,1.42526,0.9081,0.89503,0.95577,0.59054,1.30775,0.64371,1.68799,0.000726312,0.000726312,0.000726312
59,5683.78,1.06707,0.78853,1.41829,0.92111,0.88346,0.95522,0.58815,1.30587,0.64718,1.68287,0.000709809,0.000709809,0.000709809
60,5740.33,1.06721,0.77578,1.41944,0.8875,0.91539,0.95564,0.59398,1.30651,0.63687,1.67705,0.000693305,0.000693305,0.000693305
61,5797.04,1.07523,0.76699,1.42017,0.89827,0.89212,0.95357,0.59742,1.29933,0.63447,1.6732,0.000676802,0.000676802,0.000676802
62,5853.81,1.04883,0.76054,1.40561,0.89194,0.90602,0.9538,0.59846,1.2967,0.62627,1.68295,0.000660299,0.000660299,0.000660299
63,5910.53,1.04727,0.75742,1.40643,0.91037,0.89733,0.95448,0.60382,1.28446,0.63373,1.67234,0.000643795,0.000643795,0.000643795
64,5967.07,1.0403,0.75995,1.4066,0.92779,0.88939,0.95819,0.60342,1.27641,0.63791,1.66929,0.000627292,0.000627292,0.000627292
65,6023.64,1.04267,0.75935,1.40468,0.8862,0.90916,0.95412,0.59526,1.3031,0.63186,1.68615,0.000610789,0.000610789,0.000610789
66,6080.01,1.0384,0.73988,1.40032,0.91334,0.89254,0.95613,0.59749,1.28184,0.62322,1.6643,0.000594286,0.000594286,0.000594286
67,6136.74,1.0363,0.75041,1.40103,0.89386,0.90755,0.95373,0.6028,1.28555,0.62779,1.66704,0.000577782,0.000577782,0.000577782
68,6193.27,1.03643,0.74019,1.39102,0.91031,0.90981,0.95923,0.60612,1.27728,0.62783,1.66604,0.000561279,0.000561279,0.000561279
69,6249.61,1.02956,0.74039,1.39008,0.89727,0.90338,0.95455,0.60323,1.28252,0.62923,1.66574,0.000544776,0.000544776,0.000544776
70,6305.88,1.01922,0.7273,1.38719,0.90328,0.91342,0.95612,0.60295,1.27304,0.61444,1.66048,0.000528272,0.000528272,0.000528272
71,6362.35,1.00868,0.73395,1.38015,0.90669,0.89131,0.95435,0.6062,1.28008,0.62594,1.67143,0.000511769,0.000511769,0.000511769
72,6417.77,1.01359,0.72201,1.38369,0.90991,0.90432,0.95781,0.60916,1.27277,0.61487,1.668,0.000495266,0.000495266,0.000495266
73,6474.68,1.00936,0.71649,1.3743,0.90365,0.90737,0.95897,0.60782,1.27756,0.60361,1.68023,0.000478762,0.000478762,0.000478762
74,6531.47,1.00796,0.7102,1.38028,0.90589,0.90736,0.95928,0.60588,1.27904,0.60751,1.66849,0.000462259,0.000462259,0.000462259
75,6588.25,1.00286,0.70326,1.37192,0.90173,0.92276,0.95737,0.61082,1.25775,0.59839,1.6501,0.000445756,0.000445756,0.000445756
76,6644.68,1.00644,0.71176,1.37652,0.90224,0.92075,0.9579,0.6111,1.26489,0.60859,1.65418,0.000429253,0.000429253,0.000429253
77,6700.33,0.99202,0.70132,1.36765,0.90493,0.91468,0.95572,0.60827,1.27716,0.60118,1.67389,0.000412749,0.000412749,0.000412749
78,6756.89,0.99067,0.69961,1.36666,0.90778,0.91618,0.96254,0.60799,1.27368,0.59713,1.66005,0.000396246,0.000396246,0.000396246
79,6813.03,0.99171,0.68678,1.35891,0.90406,0.92082,0.96025,0.61479,1.27174,0.59757,1.66721,0.000379743,0.000379743,0.000379743
80,6869.39,0.9885,0.69732,1.36537,0.89911,0.90749,0.95948,0.61454,1.26317,0.59872,1.65786,0.000363239,0.000363239,0.000363239
81,6925.35,0.98004,0.69234,1.35743,0.89892,0.9283,0.95969,0.60993,1.275,0.59173,1.66369,0.000346736,0.000346736,0.000346736
82,6981.74,0.98589,0.68742,1.36147,0.88751,0.93241,0.9595,0.61236,1.26923,0.59229,1.66293,0.000330233,0.000330233,0.000330233
83,7037.83,0.97382,0.67757,1.35134,0.89933,0.92738,0.96358,0.61866,1.26181,0.59347,1.65445,0.000313729,0.000313729,0.000313729
84,7094.3,0.96746,0.67752,1.35163,0.90261,0.91216,0.95807,0.61308,1.26482,0.59456,1.6654,0.000297226,0.000297226,0.000297226
85,7150.61,0.9612,0.66868,1.34336,0.90053,0.91727,0.96018,0.6154,1.26933,0.59255,1.67185,0.000280723,0.000280723,0.000280723
86,7206.84,0.96339,0.6778,1.34135,0.89854,0.91914,0.96044,0.61542,1.26129,0.59253,1.66405,0.00026422,0.00026422,0.00026422
87,7263.38,0.95965,0.66001,1.34159,0.91433,0.91535,0.96053,0.61283,1.27065,0.58873,1.67217,0.000247716,0.000247716,0.000247716
88,7319,0.95326,0.66651,1.33753,0.90605,0.91726,0.96228,0.61514,1.26827,0.59041,1.67027,0.000231213,0.000231213,0.000231213
89,7374.39,0.93315,0.6466,1.32394,0.89975,0.92484,0.96258,0.61629,1.26086,0.58834,1.66915,0.00021471,0.00021471,0.00021471
90,7430.32,0.95048,0.65981,1.33804,0.90372,0.92242,0.96076,0.61467,1.26354,0.5866,1.66355,0.000198206,0.000198206,0.000198206
91,7511.22,0.96225,0.53172,1.43872,0.90372,0.91623,0.95911,0.60802,1.27776,0.5879,1.68085,0.000181703,0.000181703,0.000181703
92,7567.51,0.93669,0.50677,1.41756,0.89567,0.92379,0.96044,0.61372,1.27009,0.58435,1.68299,0.0001652,0.0001652,0.0001652
93,7623.85,0.92662,0.50261,1.41959,0.9107,0.91939,0.96384,0.6161,1.26219,0.5842,1.67382,0.000148696,0.000148696,0.000148696
94,7680.54,0.92067,0.49708,1.41153,0.9053,0.92336,0.96314,0.61318,1.26669,0.58284,1.68408,0.000132193,0.000132193,0.000132193
95,7736.74,0.91768,0.49451,1.40068,0.90615,0.90944,0.95924,0.61579,1.2651,0.58049,1.6759,0.00011569,0.00011569,0.00011569
96,7792.81,0.91167,0.49058,1.40176,0.9027,0.92326,0.95877,0.61776,1.25901,0.57631,1.67527,9.91865e-05,9.91865e-05,9.91865e-05
97,7849.21,0.90413,0.48498,1.39115,0.91305,0.91466,0.96058,0.61734,1.25924,0.57978,1.67507,8.26832e-05,8.26832e-05,8.26832e-05
98,7905.25,0.89637,0.48278,1.38671,0.91624,0.91982,0.9629,0.61803,1.25935,0.57774,1.67705,6.61799e-05,6.61799e-05,6.61799e-05
99,7961.89,0.8989,0.47976,1.38416,0.91539,0.91801,0.96146,0.6178,1.25615,0.57882,1.67362,4.96766e-05,4.96766e-05,4.96766e-05
100,8017.68,0.8939,0.48347,1.38415,0.91385,0.91639,0.96166,0.61874,1.25582,0.57894,1.67456,3.31733e-05,3.31733e-05,3.31733e-05
